method,family,mean_score
tmb,beta,0.4210728129303354
nlminb,beta,0.4163715450922909
nr,beta,0.34312108166644056
optim,beta,0.3289022191190132
tmb,bkw,0.6476038254605717
optim,bkw,0.5170949462746512
nr,bkw,0.49777981918077246
nlminb,bkw,0.1983696724241228
tmb,ekw,0.6282372055425496
nlminb,ekw,0.4167238877216547
optim,ekw,0.4045163673017573
nr,ekw,0.33512428738369093
tmb,gkw,0.6072606034192102
nr,gkw,0.4787764088661038
optim,gkw,0.33828584876857426
nlminb,gkw,0.2514125001508733
tmb,kkw,0.582379881750227
nlminb,kkw,0.43897753982391724
nr,kkw,0.4351900125144785
optim,kkw,0.2662257779636702
tmb,kw,0.4810171963132367
optim,kw,0.47446462394838734
nlminb,kw,0.38227453268854134
nr,kw,0.3013571515662913
tmb,mc,0.8117340188898603
optim,mc,0.7750694565900564
nlminb,mc,0.5091366602683336
nr,mc,0.41195305160242485
